File Name,Error (degree)
r00012_17_08_17_1213.jpg,1.9806
r00012_17_08_17_1214.jpg,2.086
r00012_17_08_17_1215.jpg,2.0454
r00012_17_08_17_1216.jpg,2.0037
r00012_17_08_17_1217.jpg,2.0037
r00013_17_08_17_1218.jpg,1.9208
r00013_17_08_17_1219.jpg,1.5435
r00013_17_08_17_1220.jpg,1.3639
r00013_17_08_17_1221.jpg,1.9921
r00013_17_08_17_1222.jpg,1.9306
r00013_17_08_17_1223.jpg,1.8585
r00013_17_08_17_1224.jpg,2.333
r00013_17_08_17_1225.jpg,1.9693
r00013_17_08_17_1226.jpg,2.0025
r00013_17_08_17_1227.jpg,2.1476
r00013_17_08_17_1228.jpg,2.0515
r00013_17_08_17_1229.jpg,2.0381
r00013_17_08_17_1230.jpg,2.0128
r00014_17_08_17_1230.jpg,2.0257
r00014_17_08_17_1231.jpg,2.129
r00014_17_08_17_1232.jpg,1.49
r00014_17_08_17_1233.jpg,1.5429
r00014_17_08_17_1234.jpg,1.8536
r00014_17_08_17_1235.jpg,1.9415
r00014_17_08_17_1236.jpg,2.3859
r00014_17_08_17_1237.jpg,1.9863
r00014_17_08_17_1238.jpg,1.8965
r00014_17_08_17_1239.jpg,1.9525
r00014_17_08_17_1240.jpg,2.0096
r00014_17_08_17_1241.jpg,1.8368
r00014_17_08_17_1242.jpg,2.0154
r00015_17_08_17_1242.jpg,1.5862
r00015_17_08_17_1243.jpg,1.6314
r00015_17_08_17_1244.jpg,1.5602
r00015_17_08_17_1245.jpg,1.4232
r00015_17_08_17_1246.jpg,2.0521
r00015_17_08_17_1247.jpg,1.8695
r00015_17_08_17_1248.jpg,1.9682
r00015_17_08_17_1249.jpg,2.1858
r00015_17_08_17_1250.jpg,1.922
r00015_17_08_17_1251.jpg,1.9252
r00015_17_08_17_1252.jpg,2.0273
r00015_17_08_17_1253.jpg,1.853
r00015_17_08_17_1254.jpg,2.0154
r00016_17_08_17_0100.jpg,2.0454
r00016_17_08_17_0101.jpg,1.9208
r00016_17_08_17_0102.jpg,1.8863
r00016_17_08_17_0103.jpg,2.0889
r00016_17_08_17_0104.jpg,2.0333
r00016_17_08_17_0105.jpg,2.0037
r00016_17_08_17_0106.jpg,2.0454
r00016_17_08_17_1254.jpg,1.6997
r00016_17_08_17_1255.jpg,1.4742
r00016_17_08_17_1256.jpg,1.378
r00016_17_08_17_1257.jpg,1.7692
r00016_17_08_17_1258.jpg,2.0128
r00016_17_08_17_1259.jpg,2.0393
r00017_17_08_17_0106.jpg,1.5363
r00017_17_08_17_0107.jpg,1.3593
r00017_17_08_17_0108.jpg,1.5074
r00017_17_08_17_0109.jpg,1.5389
r00017_17_08_17_0110.jpg,1.6308
r00017_17_08_17_0111.jpg,1.9863
r00017_17_08_17_0112.jpg,1.8751
r00017_17_08_17_0113.jpg,2.1394
r00017_17_08_17_0114.jpg,1.864
r00017_17_08_17_0115.jpg,1.8476
r00017_17_08_17_0116.jpg,1.9749
r00017_17_08_17_0117.jpg,1.5124
r00017_17_08_17_0118.jpg,1.6308
r00018_17_08_17_0118.jpg,1.5225
r00018_17_08_17_0119.jpg,1.5961
r00018_17_08_17_0120.jpg,2.1355
r00018_17_08_17_0121.jpg,1.5435
r00018_17_08_17_0122.jpg,2.0732
r00018_17_08_17_0123.jpg,2.0638
r00018_17_08_17_0124.jpg,1.9956
r00018_17_08_17_0125.jpg,2.0826
r00018_17_08_17_0126.jpg,1.8299
r00018_17_08_17_0127.jpg,1.9034
r00018_17_08_17_0128.jpg,1.9749
r00018_17_08_17_0129.jpg,2.0096
r00018_17_08_17_0130.jpg,1.5018
r00019_17_08_17_0130.jpg,1.5911
r00019_17_08_17_0131.jpg,1.9349
r00019_17_08_17_0132.jpg,1.5246
r00019_17_08_17_0133.jpg,1.4548
r00019_17_08_17_0134.jpg,1.5766
r00019_17_08_17_0135.jpg,2.0576
r00019_17_08_17_0136.jpg,2.0515
r00019_17_08_17_0137.jpg,2.0723
r00019_17_08_17_0138.jpg,1.8882
r00019_17_08_17_0139.jpg,2.1211
r00019_17_08_17_0140.jpg,2.0393
r00019_17_08_17_0141.jpg,1.5189
